id,kategori,soru,reference_cevap,base_answer,fine_tuned_answer
60,uroloji,"merhaba hocam babam 62 yaşında 3 yıl önce psa 8mg çıktı sonra antibiyotik kuklandı 3mg düştü şu anda psa ölçüldü 9mg çıktı hiç bişey kullanmadan 14 gün sonra başka hastanede ölçüm yapıldı6,75mg çıktı doktor biyopsi öneriyor sizin görüşünüz nedir hocam bilgilendirirseniz seviniriz. şu anda cipros 500mg kullanıyor",Hülya Hanım Merhaba. PSA sadece kanser varlığında yükselmez. Prostat enfeksiyonları da PSA değerini yükselten nedenler arasındadır. Antibiyotik kanseri tedavi etmeyeceği için tedavi sonrası PSA değerinin normal sınırlara gerilemesi yükselmenin enfeksiyonda. Kaynaklandığına işaret eder. Yeniden 6 haftalık bir antibiyotik tedavisi uygulanıp PSA y niden ölçülebilir. Eğer yine yüksek çıkar ise biyopsi yapılması uygun olur. İyi çalışmalar.,"Merhaba, bu sorunuz hakkında bazı önemli noktaları belirtmek istiyorum:

1. Psoriasis (Ps)病情の改善はまだ見られていません。医師がバイオプシーを勧めているのは、この状況を改善するためです。

2. 調整された治療法が必要かもしれません。薬剤や用量を変更したり、他の薬を使用したりすることも考えられます。

3. 治療の継続と定期的な検査は重要です。医師との連絡を取り、最新の状態を共有することが大切です。

4. 現在の症状に加えて、他の健康問題がある可能性もあります。これらの問題についても医師と話し合うことが重要です。

5. チックロサイド（ciprost）は一般的な",Bilgi vermek için sizi muayene etmem gerekir.
61,genel-cerrahi,"Merhaba dr bey annem bir haft önce göbek fıtığı amlyt oldu. fıtık büyüktü ve coumadin kullanıyor.her gün aynı saatte dreni boşaltıyoruz hep 250 ml,hiç azalma olmadı. Normalde iki gün önce 25ml e düşecek ve aldıracaksınız demişti dr bey. Fakat hiç azalmadı ayrıca bugün rengi açıldı derken koyu kan gelmeye başladı. Amlyatı gerçekleştiren hekimden yeterli cevap alamadım. Size danışmak istedim. Dren miktarının azalmaması renginin koyulaşmadı ne demektir? Bundan sonda nasıl bir yol izlemeliyiz? Coumadin ile ilgili midir, kesmemiz gerekir mi ? Kan gelmesi devam ederse ne yapmamız gerekir? Teşekkür ederim iyi çalışmalar diliyorum","Sayın Neslihan Hanım; Yapılan ameliyat, ameliyatta uygulanan yöntem ve ameliyatın boyutlarını bilmeden sorduğunuz sorulara cevap verebilmek mümkün değil. Ancak coumadin kullanımı kanama problemlerine yol açabilir, bu ilacı kullanma nedeniniz önemli. O yüzden doktorunuza danışmadan kesmenizi önermem. saygılarımla","Merhaba! Bu sorunun çözümünü tam olarak anlamak için daha fazla bilgi gerekebilir. Ancak, birkaç önemli nokta özetleyebilirim:

1. Amlyatın durumu oldukça zor görünüyor. Koyulmuş kanlar, hem amlyatın hem de diğer hastaların sağlık açısından büyük zararlar olabilir.

2. Coumadin kullanımı, amlyatın hem amlyatın hem de diğer hastaların sağlık açısından büyük zararlar olabilir.

3. Rengin koyulması, kanın normal bir şekilde çalışmasını engellemektedir. Bu durumda kanın normal bir şekilde çalışmasını sağlama konusunda bazı kararlar alınmalıdır.

4. Eğer kanın normal bir şekilde çalışmayı sağlayamazsa, kanın normal bir şekilde çalış","Merhaba, Annenize yapılan tetkiklerin sonuçlarını bana göndermenizi öneririm."
62,genel-cerrahi,Kardeşimin karaciğerinde doğuştan olduğu düşünülen lekeler var.Ama son check-up da bu lekelerin büyüdüğü söylendi.Özellikle bir tanesi çok büyük olduğu için 1 yıllık takip sonrası ameliyat olması gerektiği söylendi.İlaç tedavisi de yokmuş.Bunların bir nevi kanser olduğu ama yapılan kanser testleri sonucu kötü huylu olmadıkları söylendi.Kanser sözünü duymak tabiiki çok canımızı sıktı.Konu ile ilgili yorumlarınızı alabilirmiyim? Şimdiden çok teşekkür ediyorum.,Verdiğiniz bilgilerde net bir teşhis olmadığı için yorum yapmam isabetli olmaz. Ama sanki bir hemanjiom teşhis edilmiş gibi anladım. Eğer öyle ise 10 cm'i geçip diğer organları sıkıştırmadıkça ameliyat etmeyiz.,"Bu durumda, karaciğerindeki lekelerin büyümesi ve kanser olabileceğini düşünmek, oldukça zor bir konudur. Ancak, yapılan testlerin kötü huylu olmadığını ve kanser olmamasını belirttiğinden, onları kontrol etmek ve düzenli olarak doktorlara bağlı olarak incelemek önemlidir. Bu durumda, her zaman hemen doktorlara başvurmanız ve düzenli check-ups yapmanız gerekebilir. Ayrıca, sağlıklı yaşam stratejilerini uygulamanız ve sağlıklı bir hayat sürmenizi öneririm. Bu, kanser riskinizin azaltılmasına yardımcı olabilir.",Kardeşinizin hastalığının nedeni karaciğerdeki lekeyi bilmek lazım. Leke büyümesi kanser olabilir. Ancak kanser olmaması da mümkün. Bu durumda tedavi planlanır.
63,uroloji,8. Ayda Anti hiv antikor yalancı Negatiflik vrm ihtimali .?,Normal bir kişide negatif olma ihtimali yoktur. Sonucunuz temiz.,"Bu sorunun doğru cevabı:

""Anti-HIV antikor yalancı negatiflik için riskin %10-20 arasında olabilir.""

Bu cevap, genel bir bilgi olarak verilmiştir ve HIV/AIDS durumunda normal bir sonuçtır. Ancak, bu riski belirleyen faktörler, sağlık sağlığı sistemindeki diğer faktörlere bağlıdır. Eğer daha detaylı bilgi veya özel durumu hakkında isterseniz, profesyonel tıbbi personelinize başvurmanız önerilir.",Evet
64,genel-cerrahi,40 yaşımdayım zaman zaman göbeğimde sarı kalıntılar oluyordu temizliyordum çok seyrek olarak geçen gün göbeğimde kurumuş kan gördüm çok panik oldum cevabınız için şimdiden teşekkür ederim,Panik olacak bir durum olduğunu sanmıyorum. Göbek deliğinin dar olduğu ve yeterince temizlenmediği durumlarda göbekte enfeksiyon olabilir. Göbek içinde birikenler bu enfeksiyona yol açar. Göbek deliğinizi düzenli temizleyiniz. Gerekirse bir doktordan yardım alınız.,"İşte cevap:

Bu durumda, senin göbelerindeki sarı kalıntıların ve kanın görünmesi sadece bir hastalığa yol açabilir. Bu durum, genellikle bakteriler veya diğer mikroorganizmalar tarafından oluşmuş olabilirler.

Bu durumun nasıl çözüleceği hakkında bazı öneriler:

1. Hastanenizin hastanelerine başvurunuz.
2. Doktorunuzla görüşünüz.
3. Eğer kanın yoğunluğunuza dikkat ettiyseniz, hastaneye gidebilirsiniz.
4. Senin hastalığınızı anlatabilecek bir doktora başvurmanızı öneririm.

Bu durum, normal bir hastalığa değil, bir zorunluluk",Göbekteki kanlı kılıntılar genellikle kanlanma veya kanlı sıvıdan kaynaklanır. Bu durumlarda kanlanma sırasında kanlı sıvının göbekten kaçması ve kanlanmanın devam etmesi ile kanlı kılıntı oluşur. Kanlı sıvı kanlanmaya neden olabilir. Kanlı sıvının kanlanmadığı zaman da kanlı kılıntı oluşabilir. Kanlı sıvının kanlanmadığını düşünürken kanlı kılıntıların oluşmasını engelleyen ilaçlar kullanmak gerekir. Kanlı kılıntıların tamamen geçmesi için tedaviye ihtiyaç vardır.
65,kulak-burun-bogaz-hastaliklari,"Merhabalar hocam, 3 ay önce tükürükle birlikte ağzım dan kan gelmişti. Bugün aynı şekilde ağzımdan tükürükle birlikte iki üç defa kan geldi. Hocam öksürük, mide bulantısı, karın ağrım yok sadece geceleri boğazımda yanma ve gıcıklanmayla birlikte midemde yanma oluyor ayrıca 3 aya yakın dişim de ağrısız apse var. Hocam bu neden kaynaklanmaktadır? korkulacak bir şey var mı?","Öncelikle geçmiş olsun, az miktarda kan gelmesi özellikle tükürükle birlikte olunca çok önemli sayılmaz, diş erlerimizi kontrol edin, bazen de Burundan kaynak olabilir","İşte cevap:

Bu durumda, hoca, öksürük, mide bulantısı, karın ağrımı ve boğazdan yanma等症状i, genel olarak bir hastalığın belirgin bir yönüdür. Bu durum, bazı hastalıkların bir parçasıdır.

Özellikle, ""gibi"" kanlı çıkışı, özellikle de yaşlılar veya onaylı hastalıklara (örneğin, kanser) bağlıdır. Ancak, bu durumun tüm hastalıkların bir parçası olduğu anlamına gelmez. 

Bu durumu kontrol etmek için, hocalarınızın destek almanız gerekebilir. Hastaneniz için doktorluk, hastanelerinize başvurmanız önerilir. Ayrıca, sağlık",Bir dahiliye hekimine muayene olmanızı öneririm.
66,genel-cerrahi,iyi günler hocam 9 yaşında kist hidatik ameliyatı oldum ve karaciğer sol lob segment 2 ve 3 yok.şimdi 23 yaşındayım sağlık problemim yok .askerden yedek subay adayı olarak muaf olurmuyum.,Bu konuda net karar verebilmek için ameliyat raporlarınız ile birlikte bir askeri hastaneye müracaat etmeniz gerekmektedir. Orada yapılacak tetkikler ve sizin raporlarınızın değerlendirilmesi sonucunda bu konudaki yönetmeliklerde incelenerek karar verilir.,"İşte doğru ve güvenli bir cevap:

""Üzgünüm, ancak bu durumu anlayabilmem için daha fazla bilgi gerekiyor. Hidatik ameliyatı tamamen kontrol edilebilir ama bazı durumlarda sonuçlar değişebilir. Karaciğer segmentleri hakkında detaylı bilgiler verdiğinizde, profesyonel tedavi kurulumuna ihtiyacımız olabilir. Asistanınızın sağlığınızı korumak için en iyisini yapmak için size yardımcı olabilirim.""","Merhaba, Askerlikten yedek subay olarak görev alabilirsiniz."
67,fiziksel-tip-ve-rehabilitasyon,"rapor bu c5-6 c6-7 diskleri santral protrüzyon göstermekte olup anterior epidural mesafede silinme mevcuttur.Servikal vertebra korpus yükseklikleri ve nöral arkus elemanları normaldir.servikal intervertebral disk yükseklikleri ve intensiteleri normal olarak değerlendirilmiştir. servikal spinal kord intensitesi ve genişliği , kraniovertebral bileşke normaldir.servikal spinal kanal ön çapı ve nöral foramenler normaldir YORUM:C5-6 ve C6-7 santral protrüzyon,anterior epidural mesafedede silinme.",MR raporunda ciddi bir bozukluk yok. Şikayetiniz nedir ?,"Raporun belirtilen durumlar doğrulardır:

1. Servikal vertebra korpus yükseklikleri ve nöral arkus elemanları normaldir.

2. Servikal intervertebral disk yükseklikleri ve intensiteleri normal olarak değerlendirilmiştir.

3. Servikal spinal kord intensitesi ve genişliği, kraniovertebral bileşke normaldir.

4. Servikal spinal kanal ön çapı ve nöral foramenler normaldir.

Bu durumların sağlanması, patientin fiziksel durumu ve onun sağlık açısından güvenilir bir duruma sahip olduğunu göstermektedir. Ancak, tüm durumların tamamı ve tüm patientin sağlığı durumunu anlamak için daha fazla bilgi ve analiz gereklidir.","Merhaba, Öncelikle geçmiş olsun! Bu raporda önemli olan; C5-6 ve C6-7 seviyelerindeki disklerde hafif derecede daralma var. Ancak bu durumda ameliyat gerekmez. Muayene bulgularınız ile birlikte değerlendirilmesi daha uygun olacaktır. İyi çalışmalar..."
68,kardiyoloji,"KOAGULASYON SONUÇLARI PT 24,6 sn 12 - 16 INR 1,86 APTT 38,0 sn 25 - 40 COUMADİN KULLANAN HASTA SON 3 GÜNDÜR BU SONUÇLAR HK BİLGİ VERİRSENİZ MEMNUN OLRUM","Bu sonuçlara göre coumadin dozu yetersiz görünüyor. Ancak mutlaka takip eden doktora danışın. Sanal ortamda ancak genel bilgi verebilirim. Geçmiş olsun, Prof. Dr. Ali Serdar Fak, www.vivasaglik.com","Bu sorunun doğru ve güvenli bir cevabı şu şekildedir:

HK (Hemoglobin) bilgilerini vermek için hastanızın hemoglobin düzeylerini ölçmelidir. Hemoglobin testi, hemoglobinın normal değerleri arasında olup olmadığını belirlemek için kullanılır.

Örneğin, hemoglobinın normal değerleri arasında olan bir değer olarak 12-16 INR (International Normalized Ratio) olarak verilmiştir. Bu değer, hemoglobinın normal düzeyine yakındır.

Sonuçlar, hemoglobinın normal düzeyinde olduğu için hemoglobin testi sonuçları memnuniyetle karşılanabilir. Eğer hemoglobinın normal düzeyde değilse, daha fazla hemoglobin testi veya başka bir hücresel hastalığa dikkat etmen gerekebilir",Öncelikle geçmiş olsun. Bu değerler normal sınırlarda. Bunlar hastalığınızdan kaynaklanmaz. İleri tetkikler yapılabilir. Geçmiş olsun.
69,uroloji,Hocam merhaba bi sorum olacaktı ama cevabını hicbiryerde bulamadim hocam ben büyük abdestimi yaparken idrarimvarsa veya yoksa da büyük abdesti yaparken bir kaç damla idrar geliyor yani fazla değil bu normaldimir başka bi sıkıntı yok fazla idrar gibi bi durum yok lütfen ce,"Normaldir, endişe etmeyin","İşte cevabı:

Hocam, abdestinizi yaparken idrara ihtiyacınız olduğunu düşünmüştüm. Bu durum genellikle abdestinizin tamamlanması için olabilir. Ancak, çok fazla idrara ya da idrara çok fazla almak, bazı sağlık sorunlarına yol açabilir.

Öncelikle, abdestinizi tamamlamak için gereken idraların sayısını öğrenmek önemlidir. Örneğin, 10-20 damla idrara (ayrıca 50-100 ml) genellikle abdestinizi tamamlar. 

Bu kadar idrara alırken, abdestinizi tamamlamak için gereken diğer faktörler de göz önünde bulundurulmalıdır",Normaldir.
70,ortopedi-ve-travmatoloji,"Merhabalar hocam. 30 yaşındayım. Askerlik dönemimde buz üzerinde kayıp kalçam üzerine düştüm ve belimde ağrılarım başladı. Daha sonra bir trafik kazası sonucunda bu ağrılarım daha da şiddetlendi. Kaza geçirmemin üzerinden 8 yıl geçti. Ve maalesef ki daha 1 hafta önce ortopedi ye gözüktüm. Doktorumun dediği üzre bel fıtığım yokmuş filmlerde. Kendisi kan tahlili istemişti. Ve Ürik asit seviyesi ""10.1"" çıktı. Ben et tüketimi çok az olan bir insanım. 1.70 boyunda 53 kiloyum. Ailemden kimsede ""gut yok"". Benim asıl sıkıntım kendimi 70 yaşında gibi hissediyorum çok ağrım oluyor. Hocamızın söylediğine göre GUT hastasıymışım. Bana 2 ilaç verdi Colchicum -Dispert ve Voltaren SR 75. Şu anda bu ilaçları kullanıyorum ve çok rahatım. Fakat ilaç vakti geçer geçmez tekrar kabuslarım başlıyor. 10 ay önce de Pnömotoraks yüzünden operasyon geçirdim. Şimdi de bu hastalık... Ne yapmam gerekiyor hocam, sizce durum ne kadar ciddidir? Bu çıkan değer yaşıma oranla çok mu yüksek?",Gut atak yapan bir hastalıktır ve şu an tedavisini alıyorsunuz. Ürik asit seviyesi normale dönünce sadece proteinden fakir diyet yapmanız yeterli olabilir. Tekrarlarsa yine tedavi almanız gerekir. O kadar moral bozacak bir hastalık değil. Geçmiş olsun.,"Merhaba! Size yardımcı olmak için size birkaç öneride bulunacağım:

1. İletişim: Doktora yeniden incelemesi gerekecek. Bazı hastalıkların nedeni farklı olabilir.

2. Diet: Yemeklerinizi kontrol edin. Genellikle su içme, enjekte veya yemeklerini azaltmanızı önerilir.

3. Yoga ve Dinlenme: Bu teknikler genellikle stress ve agresif hava senaryolarını azaltır.

4. Fitness: Sağlıklı yaşam tarzınızı sürdürüyorsanız, vücudunuzu iyileştirir.

5. Zihinsel Danışmanlık: Hastalığınız hakkında bilgi sahibi kişiyi arayabilirsiniz.

6",GÜT hastalığı için 6-9 ayda tedavi edilmesi gerekir.
71,beyin-ve-sinir-cerrahisi,Bu soruyu eşim adına soruyorum. Belimin sol tarafından başlayıp sol bacağımın arka tarafından dizime kadar bir çizgi halinde ve dizden aşağısı ayak parmaklarına kadar tümden bir ağrım var. Bunun üzerine son 5 gün öncesi sol ayak bileğimda 2 taraflı (dış tarafında) şişme (su varmış gibi bir şişlik) var. Acılı ve ağrılı bir yanma var. Özellikle bu şişlikler neden kaynaklanabilir ve doktora gitmek istersek hangi bölüme gitmeliyiz. Acilen bir cevap verebilirseniz çok memnun oluruz. Yaşım : 35 Izmir,"İlk fırsatta yeni bir bel MR&#39ı çektirin, sonuçları bana yollayın veya bizzat getirin, sonra ayrıntıları görüşelim.","Bu durum, genel olarak bir yanma veya yanma hastalığına işaret eder. Ancak, belki de daha spesifik bir yanma veya yanma hastalığının belirtildiği için, doktorunizi yönlendirmek için belirli bir bölgeye gidecek miydi? Eğer yanma hastalığına işaret ettiyseniz, genellikle yanma hastalarına özel bir yanma hastanesi veya yanma hastane分局ine gidin. Eğer yanma hastalığına işaret etmediyseniz, genellikle yanma hastalarına özel bir yanma hastanesi veya yanma hastane分局ine gidin. Ancak, bu konuda en iyi bilgi sahibi olan profesyonel bir tıbbi asistanınız olmalıdır. Dok",Beyin cerrahisi bölümüne başvurmanız uygun olur.
72,uroloji,Merhabalar hocam 17 yaşındayım ve ereksiyon halinde iken penisimin gövdesini tutunca penis başı büyüyor ve kenarları hafif çatlak gibi yara oluyor başını sıkınca düzeliyor bırakınca tekrar şişiyor. Sizce bu neden kaynaklanıyor olabilir ? şimdiden teşekkürler,Çok sıkı tutmayın,"Merhaba! Bu durumda, erkeklerin penisinin gövdesini tutarken başını sıkma, onun için oldukça zordur. Bu durum genellikle penisin sağlığına zarar verebilir. Ancak, bu durumu kontrol etmek için profesyonel bir tedavi kuralları ve tedavileri gerektirir. 

Bu durumun neden olduğu bazı yaygın olanlar arasında:

- Penis sağlığının eksikliği veya defektleri
- Peynirin sağlığını bozukluğu
- Peynirenin normal hareketi bozukluğu

Bu durumları kontrol etmek ve tedavi edebilmek için profesyonel tedavi kuralları ve tedavileri önerilir. Ayrıca, özel bir doktor veya erkeğin erkekliğ",Bir üroloji uzmanına muayene olmanızı öneririm.
73,kalp-damar-cerrahisi,SAYIN HOCAM MERHABA.ADIM CELALETTIN ELİBÜYÜK. BENIM SOL BACAĞIMDA SUREKLI YANMA ELEKTRIKLENME VE KARINCALANMA OLUYOR.4 DEFA AMELİYAT OLDUM.ROBOTIK KALP DAMAR ACMA AMELIYATI DUYDUM FAYDASINI GOREBILIRMIYIM.YUZDE 54 ENGELLIYIM.SEKER HAST.VAR.TAVSIYENIZ NELERDIR.TESEKKURLER.,"Celalettin bey, randevu alın, elinizdeki anjiyo CD leri de getirin lütfen, bir bakalım ne yapacağımıza, robotik damar ameliyatı yapılmıyor Türkiye şartlarında, çok geçmiş olsun.","Merhaba, amadım. Bu durumda engel sayısı 54'dir ve robotik kalp damar acma ameliyatını duyduğunuzda faydalanabilirsiniz. Ancak, sağlık sorunları hakkında bilgi vermek için profesyonel bir doktor'a başvurmanız önerilir. Ayrıca, sağlık hizmetlerine ulaşmak için numaramızı veya web sitesini ziyaret etmenizi öneririm. Teşekkür ederim!","Merhaba, öncelikle geçmiş olsun. Ameliyat olmanız gerekiyor. Saygılarımla"
74,beyin-ve-sinir-cerrahisi,"Merhaba Ali bey, Umarım iyisinizdir? Ben pek iyi değilimi. Sebebine gelince. 10-12 yıldır Bel fıtığı rahatsızlığı çekiyorum. Bunca yıldır görmediğim tedavi kalmamıştır. En son Geçtiğimiz Cuma Izmit Romatem hastanesinde Doktora gittim ve MR cektirdim. Şiddetli ağrılarım başlamıştı. Sırtımın sol orta seviyesinde spazm oluştu ve beni ağlatacak seviyede acıyordu. MR sonucum bu şekilde: L4-5 düzeyinde diskte dehidratasyona bağlı sinyal kaybı, diffüz bulging, santral disk herniasyonu, dural saka bası, nöral foramenlerde daralma ve L5-S1 düzeyinde diskte dehidratasyona bağlı sinyal kaybı, diffüz bulging, sol mediolateral proztrüzyon, sol S1 sinir köküne minimal bası, nöral foramenlerde daralma. L1, L2 ve L3 de ise düzeyinde dehidrasyona bağlı sinyal kaybı yazıyor. Bu MR'a göre yorumunuz ne olur efendim. Cevabınızı bekliyor olacağım. Kolay gelsin. Saygılar Mert",Muayene bulgularınız da önemlidir. Beyin ve Sinir cerrahisinde muayene olmanızı öneririz.,"Merhaba Mert! Size yardımcı olmak için buradayım. Belki de belirttiğiniz gibi, youraMRI sonuçları ile ilgili bazı sorularınız var mı?

MR sonuçlarınızın genel bir bakış:
- Diskte dehidratasyona bağlı sinyal kaybı (L4-5)
- Diffuz bulging (L4-5)
- Santral disk herniasyonu (L4-5)
- Dural saka bası (L4-5)
- Nöral foramenlerde daralma (L4-5)
- L5-S1 düzeyinde diskte dehidratasyona bağlı sinyal kaybı (diffuz bulging)
- Sol mediolateral proztrüzyon (L4-5)
- Sol S1 sinir kökü","Merhaba, Öncelikle geçmiş olsun. MR raporunda bel fıtığınız var. Ancak muhtemelen ameliyatlık bir durumdur. Muayene bulgularınız ile değerlendirilmesi uygun olacaktır. Sağlıklı günler dileklerimle..."
75,beyin-ve-sinir-cerrahisi,ben 40 yaşında evli bayanım şikayetim yazdan beri süren sırt ağrısı ağrı sadece geceleri uykumun arasında yatakta dönerken oluyor fizik tedavi uzmanı kulunç dedi kas gevşetici verdi ama fayda etmedi uyku düzenim çok bozuldu ne önerirsiniz teşekkürler iyi çalışmalar,Öncelikle fizik tedavi görmenizde yarar var. Eğer rahatlamazsanız bana gelebilirsiniz. Dr Aybars AKKOR 0-212- *** *** **,"İşte sizinle ilgili bazı öneriler:

1. Sırt ağrısını azaltmak için en iyisi dehşete düşmeyip, uygun bir uyku düzeni kurmanızdır.

2. Uyku düzeninizdeki herhangi bir değişiklik yapamazsanız, uyku düzenini bir uyku düzeni uzmanına veya doktoruna saklamak isterseniz, bu da uyku düzeninizin daha iyi olmasını sağlayacaktır.

3. Kas gevşetici ilaçları kullanmadan önce, uyku düzeninizinizi kontrol ederek uyku düzeni uzmanlarına başvurmanızı öneririm.

4. Sırt ağrısının neden olduğu bir hastalığa bağlı olarak, uzmanlar tarafından belirlenen bir tedaviden sorumluluğun",Beyin MR&#39;si çektirmenizi tavsiye ederim.
76,genel-cerrahi,"Merhaba Hocam, 28 yaşındayım, 1 i normal, 1 i sezeryan olmak üzere 2 doğum yaptım ve hamilelik ve sonrasında hemoroid problemi, kabızlık v.s. yaşamadım. Son günlerde kabız olmamama ve ağrılı dışkı yapmamama rağmen dışkımda bol miktarda kan görüyorum belki damarlarda bir çatlama olmuştur bilemiyorum, hiçbir ağrım, sancım, rahatsızlığım, şikayetim yok.. Sebebi ne olabilir? Kolonoskopi falan gerekir mi? Genel Cerrahi bu sorum için doğru alan mı emin değilim, beni bilgilendirir misiniz. Teşekkür ederim.",Genel cerrahi sorunuz ve sorununuz için doğru adres. Ama probleminiz soru cevap şeklinde çözülebilecek bir şey değil. Mutlaka bir genel cerrah tarafından muayene edilmeniz gerekli. İyi günler.,"Merhaba! Bu durumu anlamak için birkaç önemli nokta öne çıkaracağım:

1. Kanın dışkına nasıl bulaşabilmesi hakkında bilgiye sahip olduğunuz, çok önemlidir.

2. Kanın dışkına nasıl bulaşabilmesi, genellikle bir dizi faktör ile ilgili olan bir durumdur. Örneğin, kanın içine neden bir zarar gelmiş olup olmadığını anlamak, veya kanın içine neden bir zarar gelmiş olup olmadığını anlamak, veya kanın içine neden bir zarar gelmiş olup olmadığını anlamak, veya kanın içine neden bir zarar gelmiş olup olmadığını anlamak, veya kanın içine neden bir zarar gelmiş olup olmadığını anlamak, veya kan","Merhaba, kolonoskopiden sonra tedaviye başlanır. Geçmiş olsun."
77,fiziksel-tip-ve-rehabilitasyon,Merhaba Ayşegül Hnm anneme dizleri için protez takmaktan başka çare olmadığı söylendi bu durumda kök hücre tedavisi yapılabilir mi?,Merhaba Annenizi mümkünse tetkikleri ile beraber muayene edersem bu yanıtı verebilirim.,"Merhaba Ayşegül! Dizler için protez takma çaresi olmayabilir, ancak kök hücre tedavisi yapmanız gerekebilir. Bu durumda doktorunuzla görüşmenizi öneririm.",Bir cerrahi muayene ile karar verilir.
78,ortopedi-ve-travmatoloji,slm emar çektim diz için sonuç synovialefüzyon ve prepatellar yumuşak dokuda hafif ödem çıktı çömelemiyorum sabit durduğumda aşırı ağrı oluyor dizlik önerdi bişey yok diyor ağrısı çok tşk,"sedat bey dizlik, istirahat ve ilaç tedavisi yeterli olacaktır","İşte cevabım:

1. Synovial füzyonunuz var. Bu, dizi aralığında synovial (yemek) dolgusu oluşmasıdır. Bu durum, dizi boyunca yürüyen yemeklerin sıkıştığı bir durumdur.

2. Prepatellar yumuşak dokudaki hafif ödem, dizi boyunca yürüyen yemeklerin sıkıştırılması sonucu oluşabilecek bir durumdur.

3. Dizinin sabit olduğu durumunda, aşırı ağrı duymanız mümkün olabilir. Ancak, bu durum genellikle dizi boyunca yürüyen yemeklerin sıkıştırılması nedeniyle ortaya çıkıyor.

4. Ağrı çok tşk",Dizinizdeki sorunun tedavisi için muayene edilmesi gerekir.
79,uroloji,Hocam merhabalar ben 22 yaşındayım Herhangi bir kronik rahatsızlığım yok . Her ay ilk gün ağrılı regl görüyorum ve bir adet dolerex yada dicloflam içiyorum . Yaklaştık bu 3-4 senedir . Sadece ayda bir içiyorum . İnternette böbreklere zarar verdiği yazıyordu bu kadar kısa sürede böbrek yetmezliği yapar mı ? Eylül de idrar tahlili verdim tüm değerlerim kan vs normal çıktı lökosit +- yazıyordu onu anlamadım normal mi ? Bide yaklaşık 4 senedir de 10 mg citoles kullanıyorum anksiyetem olduğu için bu içtiklerim böbreklerime zarar verir mi ? Bir kaç gündür böbreklerim ağrıyor gibi ama böyle sürekli süren Ağrı değil bir kaç saniye yada bir dakika falan sonra geçiyor neden olabilir? daha yeni tahlil yaptırdım bir şey olsa çıkmaz mıydı ? Hepsine tek tel cevap verirseniz çok mutlu olurum,Devamlı almazsanız zararı olmaz. Kas ağrısı olabilir. Geçmezse bir üroloji uzmanına muayene olmanız gerekir,"İşte kısa ve doğru cevap:

Böbrek yetmezliği, genellikle bir dizi faktörle başlar. Bu faktörler arasında:

1. Genel sağlık durumu
2. İç içe geçen ilaçların etkisi
3. Anksiyete veya stress

Bu durumları kontrol etmek için:

1. Daha fazla araştırma yapmak (internette araştırabilirsiniz)
2. İletişim kurarak doktorla görüşmek
3. Sağlık hizmetleriyle iletişime geçmek

Dolérex ve Dicloflam, her ikisi de böbrek yetmezliği riskini artırmakta olabilir. Ancak bu ilaçlar genellikle biraz agresif olabilirler.

Anksiyet ve iç içe geçen ilaç",Böbrek yetmezliği olmaz. İdrarda ödem varsa ilaç tedavisi ile düzelir. Ancak ödemin kaynağına bakmak gerekir.
80,beyin-ve-sinir-cerrahisi,"Harewketli iki yönlü filmde bel kayması tespit edilip, ameliyat önerildi. Ama isteğimize bırakıldı.Bacaklarda güç kaybı yok.Ağrı 4 aydır sürüyor.Belde sağ bacakta,sağ topukta belirgin ve şiddetli. Bir aydır fizik tedavicini verdiği 6-7 çeşit egzersiz lerden yapıyorım.Nispeten rahatladım.Acaba bel kayması için önerilen ve mahzurlu bulunan eksersizleri öğrenme imkanımız var mı? Ameliyatsız tedaviye ulaşma ihtimalimiz ne kadar olabilir. Saygılar efendim.","Size antaljik trak ve kryoprakti uygulayabiliriz. Ayrıntılı bilgi için www.akkorsaglik.com adresine girebilir, veya aşağıdaki telefonlardan Aynur Hanımı arayabilirsiniz. Dr Aybars AKKOR *** *** ** / *** *** **","İşte belki de bel kaymaların nedenlerine ve tedavilerinin bazılarını anlatmak için birkaç öneri:

1. Bel kaymasının en yaygın nedeni, genellikle bir yere düşmesidir. Bu durumda, bel kaymaların çoğu, belin üstünde veya altındayken gerçekleşir.

2. Bel kaymasının diğer nedenleri arasında, genetik faktörler, hastalıklar (örneğin, diabetes), sağlık sorunları gibi çeşitli faktörler bulunur.

3. Bel kaymasının tedavisinde, genellikle bir doktor tarafından yapılmıştır. Ancak, bel kaymaların belirgin ve şiddetli olduğu durumlarda, tedaviyi daha hızlı bir şekilde gerçekleştirmek için özel bir plan oluşturmanız",Bence ameliyat olmanız gerekir. Muayene etmeden ve tetkiklerinizi görmeden yorum yapmak yanlış olur.
